date,RBC,platelet,plasma,F_platelet,washed_platelet,apheresis_plasma,etc
2023-05-07,21927,6349,101470,1102,0,26466,33
2023-05-08,22289,5145,103461,1162,0,28215,178
2023-05-09,22089,6705,103483,1088,0,25795,150
2023-05-10,21725,7400,101848,983,0,24672,158
2023-05-11,21452,7437,97557,932,0,21067,192
2023-05-12,21499,7826,102477,882,0,22732,120
2023-05-13,22706,8306,97760,1124,0,22332,177
2023-05-14,25498,8568,102713,1421,0,24477,122
2023-05-15,26104,7642,105013,1588,0,26366,420
2023-05-16,25328,7566,109431,1288,0,27952,190
2023-05-17,24796,8327,100639,1135,0,23474,151
2023-05-18,24473,8743,105111,1079,0,25209,231
2023-05-19,23794,8293,104702,942,0,24849,160
2023-05-20,24946,8684,102678,1028,0,23573,174
2023-05-21,27077,8231,106512,1355,0,25744,72
2023-05-22,27495,6649,108401,1531,0,27613,693
2023-05-23,27055,6976,112620,1223,0,29358,348
2023-05-24,27309,7483,104129,1056,0,25614,211
2023-05-25,27001,8257,105396,948,0,24663,271
2023-05-26,27551,8151,106582,855,0,24022,267
2023-05-27,28337,8354,101833,1070,0,21407,262
2023-05-28,29371,7433,104792,1262,0,23113,36
2023-05-29,30559,5917,107145,1451,0,24987,93
2023-05-30,29929,5207,109218,1357,0,26480,117
2023-05-31,30002,7101,105714,1198,0,25507,168
2023-06-01,30444,8101,101547,1102,0,23602,615
2023-06-02,30500,7672,106348,906,0,25257,160
2023-06-03,31648,8981,106478,1013,0,23869,170
2023-06-04,33211,8243,110053,1312,0,26031,195
2023-06-05,34068,7452,112477,1504,0,27893,197
2023-06-06,34524,8062,112829,1423,0,29958,197
2023-06-07,35742,7381,116004,1449,0,31450,145
2023-06-08,34445,7485,119839,1137,0,33045,266
2023-06-09,33235,6407,112880,834,0,29464,121
2023-06-10,33275,6393,105848,849,0,21731,144
2023-06-11,34221,6118,108856,1052,0,23675,40
2023-06-12,34392,4819,110022,1160,0,25338,173
2023-06-13,33314,5962,113825,904,0,26794,130
2023-06-14,33316,6960,106779,948,0,21426,296
2023-06-15,34844,7277,104669,1151,0,16384,392
2023-06-16,35056,7548,104445,1041,0,15580,214
2023-06-17,35394,8444,109049,1177,0,17631,220
2023-06-18,36668,8267,112445,1519,0,19808,177
2023-06-19,37264,6842,114329,1656,0,21742,531
2023-06-20,36282,6991,118193,1465,0,23514,178
2023-06-21,34250,6278,111363,1171,0,20273,424
2023-06-22,33805,6830,108482,971,0,18584,140
2023-06-23,32750,6832,111620,821,0,20168,118
2023-06-24,32865,7188,106076,969,0,17890,161
2023-06-25,34696,7171,110076,1229,0,20021,54
2023-06-26,36026,6605,112597,1363,0,21903,152
2023-06-27,34701,7067,115907,1051,0,23516,106
2023-06-28,34287,7278,106561,964,0,19459,98
2023-06-29,34221,7316,100700,949,0,14351,91
2023-06-30,31707,5983,99237,807,0,13294,86
2023-07-01,32499,6960,97017,1017,0,13198,155
2023-07-02,34329,6933,100295,1285,0,15422,46
2023-07-03,35240,6160,102274,1487,0,17374,136
2023-07-04,34693,7115,100457,1302,0,16351,121
2023-07-05,33214,6953,103572,1015,0,17637,141
2023-07-06,33508,7602,104038,968,0,18155,228
2023-07-07,33602,7508,108641,943,0,19712,140
2023-07-08,33718,7521,105703,996,0,18568,110
2023-07-09,35185,6863,109004,1241,0,20724,57
2023-07-10,35885,5469,110902,1374,0,22573,220
2023-07-11,35370,6605,114628,1121,0,24226,136
2023-07-12,33702,5757,106520,877,0,20356,163
2023-07-13,33934,6662,102511,830,0,16032,123
2023-07-14,33904,6914,97308,845,0,13218,94
2023-07-15,33936,7246,94134,1109,0,11840,118
2023-07-16,35186,6999,96974,1363,0,13936,111
2023-07-17,35691,5933,98529,1512,0,15842,362
2023-07-18,35859,7215,103152,1339,0,17598,145
2023-07-19,35088,7062,95449,1064,0,14108,122
2023-07-20,34765,7000,99205,1015,0,15779,201
2023-07-21,34674,6325,103343,906,0,17323,84
2023-07-22,36245,7347,103605,1059,0,17523,161
2023-07-23,39536,7478,108462,1284,0,19716,96
2023-07-24,40426,6243,110586,1473,0,21640,252
2023-07-25,40542,7171,109032,1280,0,21044,240
2023-07-26,40598,7672,109325,1078,0,20798,163
2023-07-27,40811,7634,103156,1039,0,17675,255
2023-07-28,40851,7254,103536,1009,0,16416,135
2023-07-29,41502,7342,96971,1106,0,13067,144
2023-07-30,43532,7478,100846,1358,0,15235,97
2023-07-31,44023,6040,102665,1556,0,17077,549
2023-08-01,43798,6906,107068,1416,0,19187,142
2023-08-02,43215,7473,111345,1246,0,20975,126
2023-08-03,42617,7488,114985,1088,0,22644,235
2023-08-04,42014,6894,106907,942,0,20013,172
2023-08-05,41554,7167,99591,1011,0,16568,117
2023-08-06,42914,7047,102717,1235,0,18675,61
2023-08-07,43241,5673,104416,1378,0,20497,127
2023-08-08,41451,5668,107114,1153,0,22276,103
2023-08-09,40184,5964,99799,979,0,18787,112
2023-08-10,38196,5671,95297,827,0,14743,155
2023-08-11,35962,4211,94403,742,0,14158,59
2023-08-12,36333,6409,91242,965,0,11724,104
2023-08-13,39132,7592,95977,1168,0,13941,56
2023-08-14,40015,6645,98226,1362,0,15912,210
2023-08-15,40043,8160,102763,1459,0,18330,113
2023-08-16,40784,7307,105030,1275,0,19767,190
2023-08-17,40169,6886,108568,1259,0,21778,91
2023-08-18,40125,7593,113255,1107,0,23626,203
2023-08-19,40920,8061,106066,1140,0,20642,137
2023-08-20,42660,7875,109982,1399,0,22790,75
2023-08-21,43969,6930,112287,1608,0,24752,507
2023-08-22,42797,6857,116645,1295,0,26499,107
2023-08-23,41850,7047,106452,1201,0,22051,68
2023-08-24,41100,7039,103027,1007,0,20040,102
2023-08-25,40760,7255,99440,856,0,15446,83
2023-08-26,40707,6948,103397,990,0,17390,225
2023-08-27,43615,7754,108000,1300,0,19661,221
2023-08-28,44995,7478,110860,1446,0,21703,421
2023-08-29,44083,7706,114867,1264,0,23722,168
2023-08-30,43121,7569,107088,1043,0,19751,291
2023-08-31,43699,7842,107087,972,0,19434,287
2023-09-01,44355,8139,101440,1001,0,15120,220
2023-09-02,45313,8093,104513,1198,0,15778,285
2023-09-03,47755,7458,108859,1478,0,18076,50
2023-09-04,48225,6263,110773,1653,0,20108,151
2023-09-05,46578,5996,109643,1287,0,20558,91
2023-09-06,45207,6908,113362,1139,0,22353,108
2023-09-07,44402,6894,104731,966,0,17098,224
2023-09-08,43173,6660,108145,859,0,18769,190
2023-09-09,43132,7417,98254,1043,0,15369,103
2023-09-10,44568,7453,101733,1274,0,17635,31
2023-09-11,45178,6210,103617,1451,0,19699,313
2023-09-12,43461,6124,106369,1203,0,21583,87
2023-09-13,42078,6589,100626,982,0,18692,119
2023-09-14,41004,6744,101073,933,0,18582,175
2023-09-15,39933,6115,96032,773,0,16888,123
2023-09-16,40045,7300,92605,965,0,15166,138
2023-09-17,42389,7553,96862,1261,0,17444,37
2023-09-18,43241,6364,98793,1455,0,19531,308
2023-09-19,41793,6297,102135,1156,0,21369,94
2023-09-20,40907,7002,101964,1046,0,21166,109
2023-09-21,39128,5863,100960,848,0,19086,382
2023-09-22,37912,5921,94965,817,0,16066,386
2023-09-23,38819,7324,95934,1005,0,16900,185
2023-09-24,40704,7151,99727,1280,0,19302,80
2023-09-25,41569,6304,102015,1502,0,21506,315
2023-09-26,41075,7532,100948,1365,0,20910,195
2023-09-27,41218,8792,96842,1260,0,16720,161
2023-09-28,42545,11502,103534,1569,0,19615,117
2023-09-29,40957,9076,103274,1082,0,19928,250
2023-09-30,38726,5561,102306,621,0,19928,245
2023-10-01,38418,3567,103219,833,0,21206,37
2023-10-02,38999,3401,104691,1047,0,23095,39
2023-10-03,36791,4210,105097,1145,0,24680,45
2023-10-04,36799,3239,106437,958,0,26168,47
2023-10-05,35061,4915,106120,997,0,27202,125
2023-10-06,33964,6008,103563,1093,0,25113,111
2023-10-07,33169,6517,96638,1288,0,23470,139
2023-10-08,33937,7196,99882,1547,0,25892,47
2023-10-09,33907,6610,101400,1733,0,28019,44
2023-10-10,32502,4795,101778,1363,0,28941,57
2023-10-11,30242,5435,97642,1267,0,26636,91
2023-10-12,27954,5913,91068,1121,0,20848,131
2023-10-13,25574,5519,90140,895,0,19317,114
2023-10-14,26044,6863,86658,989,0,17105,94
2023-10-15,27456,6585,90428,1279,0,19215,48
2023-10-16,27706,5799,92403,1359,0,21106,219
2023-10-17,26183,6163,95431,1074,0,22950,129
2023-10-18,26138,6730,86572,957,0,17134,95
2023-10-19,26619,7032,90603,992,0,19063,200
2023-10-20,26818,7193,84432,1028,0,15844,139
2023-10-21,28203,7833,84597,1272,0,15575,137
2023-10-22,29184,7101,88328,1477,0,17773,42
2023-10-23,29615,6372,90340,1686,0,19723,326
2023-10-24,28975,7072,93815,1367,0,21337,130
2023-10-25,28773,8144,92108,1238,0,18252,126
2023-10-26,28865,8356,92819,1154,0,17297,147
2023-10-27,28916,8909,88741,1137,0,13748,162
2023-10-28,25787,7179,89451,949,0,14967,113
2023-10-29,27412,7726,93265,1258,0,17214,40
2023-10-30,28761,7064,95976,1424,0,19246,188
2023-10-31,28872,8158,100650,1382,0,21535,250
2023-11-01,29189,8648,96249,1308,0,19633,222
2023-11-02,28103,7741,99565,1196,0,21721,455
2023-11-03,27193,6892,96437,1116,0,19952,103
2023-11-04,27282,7474,89055,1292,0,17801,153
2023-11-05,28890,7461,92730,1493,0,20107,48
2023-11-06,29783,6867,94983,1638,0,22257,115
2023-11-07,28573,7063,98531,1409,0,24344,118
